,listing_id,id,date,reviewer_id,comments
30355,1207614,7885128,2013-10-07,8752877,3.0
30356,1207614,7974425,2013-10-10,8788159,3.6
30357,1207614,8137014,2013-10-17,8935049,4.2
30358,1207614,8270955,2013-10-22,3353671,3.2
30359,1207614,8643365,2013-11-10,8127356,3.8
30360,1207614,8770681,2013-11-17,9666133,3.3
30361,1207614,9065865,2013-12-03,7774237,3.8
30362,1207614,10233092,2014-02-08,11340577,3.9
30363,1207614,10327793,2014-02-13,11788809,3.9
30364,1207614,11230347,2014-03-25,12435790,3.8
30365,1207614,11763937,2014-04-14,13548159,3.5
30366,1207614,11888111,2014-04-18,879510,3.4
30367,1207614,12027388,2014-04-21,8052512,4.1
30368,1207614,12876154,2014-05-13,4737415,3.4
30369,1207614,13046710,2014-05-18,6965763,3.7
30370,1207614,13563939,2014-05-31,12569535,3.8
30371,1207614,13757492,2014-06-03,13809204,3.7
30372,1207614,13844037,2014-06-06,11039766,3.2
30373,1207614,13972650,2014-06-09,15456523,3.7
30374,1207614,14158578,2014-06-13,15285881,3.5
30375,1207614,14296996,2014-06-16,15789440,3.7
30376,1207614,14539867,2014-06-21,14102592,3.8
30377,1207614,14746914,2014-06-25,3711361,4.0
30378,1207614,15062994,2014-07-01,10277396,4.2
30379,1207614,15115059,2014-07-02,16972410,3.4
30380,1207614,15241246,2014-07-05,1759359,3.0
30381,1207614,15496486,2014-07-10,12521669,3.8
30382,1207614,15809182,2014-07-16,6814620,3.0
30383,1207614,16419706,2014-07-27,15430795,3.7
30384,1207614,16777610,2014-08-02,16787286,3.8
30385,1207614,16929759,2014-08-04,17140672,3.5
30386,1207614,16996279,2014-08-05,17594885,3.9
30387,1207614,17157894,2014-08-08,16243977,3.6
30388,1207614,17263509,2014-08-10,6814620,3.0
30389,1207614,17356505,2014-08-11,11626853,3.0
30390,1207614,17769019,2014-08-17,18012831,3.6
30391,1207614,18368237,2014-08-25,13457336,3.7
30392,1207614,18677688,2014-08-30,5617433,3.9
30393,1207614,18936256,2014-09-03,13922672,3.4
30394,1207614,19128090,2014-09-07,17771269,3.8
30395,1207614,19197423,2014-09-08,16968620,3.9
30396,1207614,19365870,2014-09-11,17960816,3.8
30397,1207614,19734600,2014-09-17,2147621,3.6
30398,1207614,19874248,2014-09-20,16432936,3.6
30399,1207614,20009658,2014-09-22,18170296,3.7
30400,1207614,20105810,2014-09-23,11613073,3.5
30401,1207614,20193613,2014-09-25,4083889,3.1
30402,1207614,20248364,2014-09-26,8988880,3.5
30403,1207614,20312884,2014-09-27,6760149,3.1
30404,1207614,20390423,2014-09-28,4171589,3.8
30405,1207614,20564995,2014-10-01,18477316,3.7
30406,1207614,20628507,2014-10-02,21718311,3.5
30407,1207614,20720302,2014-10-04,6622649,4.0
30408,1207614,20760502,2014-10-05,15190747,4.6
30409,1207614,20972803,2014-10-08,12278019,4.0
30410,1207614,21015713,2014-10-09,19510504,3.7
30411,1207614,21256451,2014-10-13,6242313,3.8
30412,1207614,21412035,2014-10-16,281062,3.0
30413,1207614,21626079,2014-10-20,22118532,3.6
30414,1207614,21807172,2014-10-24,22584800,3.5
30415,1207614,21876475,2014-10-26,19654128,3.2
30416,1207614,22155560,2014-10-31,14535728,3.6
30417,1207614,22283179,2014-11-02,17499099,3.3
30418,1207614,22653966,2014-11-11,964641,3.7
30419,1207614,28851171,2015-03-30,29711948,3.8
30420,1207614,29320509,2015-04-06,33234755,3.8
30421,1207614,29545438,2015-04-09,13107435,3.7
30422,1207614,29768005,2015-04-12,6708898,3.0
30423,1207614,30465245,2015-04-22,16587077,5.0
30424,1207614,31613054,2015-05-07,8590367,3.8
30425,1207614,31826785,2015-05-10,10931238,3.8
30426,1207614,32041196,2015-05-12,26930323,3.0
30427,1207614,32583332,2015-05-19,32224351,3.4
30428,1207614,32837095,2015-05-22,15948651,3.4
30429,1207614,32932905,2015-05-23,33354921,4.0
30430,1207614,32993951,2015-05-24,31544689,3.0
30431,1207614,33209978,2015-05-25,3018230,3.8
30432,1207614,33418180,2015-05-27,5534868,3.8
30433,1207614,33427075,2015-05-28,11240799,3.7
30434,1207614,34237204,2015-06-06,21213573,3.8
30435,1207614,34632459,2015-06-10,26012625,3.7
30436,1207614,34801727,2015-06-12,29821458,3.5
30437,1207614,34917485,2015-06-13,34602055,3.7
30438,1207614,35035881,2015-06-14,9566000,3.5
30439,1207614,35381984,2015-06-18,31760096,3.7
30440,1207614,35596817,2015-06-20,15869145,3.4
30441,1207614,35721647,2015-06-21,35424351,4.0
